absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,jorgensenj__total_count,libertarian__total_count,none-of-these-candidates__total_count,trumpd__total_count,republican__total_count,bidenj__absentee_count,blankenshipd__absentee_count,jorgensenj__absentee_count,none-of-these-candidates__absentee_count,trumpd__absentee_count
some,26427,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,32510,2020-11-06T18:03:40Z,R+11,Trump +11,11.28202,republican,Carson City,24,,,22,31020,4,29126,12485,12485,104,104,419,419,694,15771,15771,0,0,0,0,0
some,11522,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,32001,2020-11-06T16:53:40Z,R+49,Trump +49,48.96425,republican,Churchill,19,,,17,13563,4,12503,2966,2966,33,33,269,269,294,9088,9088,0,0,0,0,0
some,781405,Merged into voters' home precincts and released with cumulative results,,0,91,91% reported,edison,91%,32003,2020-11-08T01:59:49Z,D+9,Biden +9,9.44024,democrat,Clark,1150,,,1058,965000,2,875285,470705,470705,1646,1646,7238,7238,15240,388076,388076,0,0,0,0,0
unknown,27677,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,32005,2020-11-06T16:55:39Z,R+29,Trump +29,29.3616,republican,Douglas,41,,,39,34577,4,33537,11390,11390,67,67,400,400,886,21237,21237,0,0,0,0,0
some,16878,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,32007,2020-11-07T17:07:39Z,R+55,Trump +55,55.41946,republican,Elko,41,,,38,23013,4,21063,4375,4375,65,65,356,356,438,16048,16048,0,0,0,0,0
some,206,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,32009,2020-11-04T10:43:51Z,R+67,Trump +67,66.87764,republican,Esmeralda,5,,,5,525,4,474,72,72,1,1,6,6,12,389,389,0,0,0,0,0
some,565,Merged into voters' home precincts and released with cumulative results,,937,100,>98% reported,edison,>98%,32011,2020-11-04T10:43:52Z,R+79,Trump +79,78.66242,republican,Eureka,4,,,4,942,6,942,92,184,3,6,6,12,24,833,1661,92,3,6,8,828
unknown,5797,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,32013,2020-11-04T10:43:52Z,R+54,Trump +54,53.56363,republican,Humboldt,15,,,14,7977,4,7324,1608,1608,22,22,93,93,140,5531,5531,0,0,0,0,0
unknown,2155,Merged into voters' home precincts and released with cumulative results,,0,89,89% reported,edison,89%,32015,2020-11-06T16:57:39Z,R+62,Trump +62,61.51527,republican,Lander,9,,,8,2992,2,2653,478,478,5,5,34,34,52,2110,2110,0,0,0,0,0
some,1603,Merged into voters' home precincts and released with cumulative results,,0,87,87% reported,edison,87%,32017,2020-11-05T18:15:55Z,R+71,Trump +71,70.54498,republican,Lincoln,6,,,5,2644,4,2312,318,318,7,7,15,15,46,1949,1949,0,0,0,0,0
some,20256,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,32019,2020-11-06T17:03:33Z,R+41,Trump +41,40.95672,republican,Lyon,40,,,40,29465,4,29392,8264,8264,101,101,442,442,566,20302,20302,0,0,0,0,0
none,2413,Merged into voters' home precincts and released with cumulative results,,0,88,88% reported,edison,88%,32021,2020-11-04T10:43:54Z,R+27,Trump +27,26.80128,republican,Mineral,12,,,11,2476,4,2179,759,759,10,10,34,34,66,1343,1343,0,0,0,0,0
unknown,18099,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,32023,2020-11-07T17:13:40Z,R+40,Trump +40,40.06911,republican,Nye,33,,,32,24298,4,24021,6950,6950,79,79,212,212,410,16575,16575,0,0,0,0,0
unknown,1541,Merged into voters' home precincts and released with cumulative results,,0,91,91% reported,edison,91%,32027,2020-11-04T10:43:54Z,R+51,Trump +51,51.20968,republican,Pershing,6,,,5,2458,2,2232,525,525,7,7,12,12,40,1668,1668,0,0,0,0,0
some,1990,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,32029,2020-11-06T16:58:39Z,R+35,Trump +35,35.05226,republican,Storey,15,,,14,3172,4,2870,899,899,3,3,33,33,60,1905,1905,0,0,0,0,0
some,212214,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,32031,2020-11-08T17:03:43Z,D+5,Biden +5,4.60471,democrat,Washoe,563,,,534,252000,4,247138,125712,125712,635,635,3431,3431,6056,114332,114332,0,0,0,0,0
some,3720,Merged into voters' home precincts and released with cumulative results,,0,89,89% reported,edison,89%,32033,2020-11-04T10:43:57Z,R+58,Trump +58,57.50539,republican,White Pine,10,,,9,4679,4,4177,836,836,21,21,41,41,82,3238,3238,0,0,0,0,0
