timestamp,witzkel_percent,coonsc_percent,witzkel_count,coonsc_count,witzkel_delta,coonsc_delta
2020-11-04 03:35:23+00:00,0.455,0.516,38241,43368,,
2020-11-04 03:35:51+00:00,0.494,0.48,100243,97402,62002.0,54034.0
2020-11-04 04:00:47+00:00,0.374,0.599,179150,286928,78907.0,189526.0
2020-11-04 05:11:34+00:00,0.374,0.599,179479,287454,329.0,526.0
2020-11-04 05:13:20+00:00,0.379,0.594,184741,289542,5262.0,2088.0
2020-11-04 05:16:20+00:00,0.379,0.594,184742,289543,1.0,1.0
2020-11-04 05:42:35+00:00,0.379,0.595,185491,291205,749.0,1662.0
2020-11-04 22:46:44+00:00,0.379,0.595,185506,291229,15.0,24.0
2020-11-05 06:51:20+00:00,0.379,0.595,185506,291230,0.0,1.0
