timestamp,democrat__percent,democrat__count,democrat__delta
2020-11-04 00:49:22+00:00,0.475,14182,
2020-11-04 01:03:51+00:00,0.451,15327,1145.0
2020-11-04 01:14:22+00:00,0.428,17332,2005.0
2020-11-04 01:16:42+00:00,0.409,21630,4298.0
2020-11-04 01:18:50+00:00,0.38,26318,4688.0
2020-11-04 01:19:32+00:00,0.372,27760,1442.0
2020-11-04 01:25:12+00:00,0.372,31092,3332.0
2020-11-04 01:26:47+00:00,0.371,32543,1451.0
2020-11-04 01:27:05+00:00,0.368,37681,5138.0
2020-11-04 01:29:45+00:00,0.364,38322,641.0
2020-11-04 01:34:25+00:00,0.346,41152,2830.0
2020-11-04 01:36:23+00:00,0.345,41431,279.0
2020-11-04 01:39:34+00:00,0.332,45214,3783.0
2020-11-04 01:41:08+00:00,0.33,46164,950.0
2020-11-04 01:45:50+00:00,0.328,48217,2053.0
2020-11-04 01:46:30+00:00,0.326,48652,435.0
2020-11-04 01:47:29+00:00,0.326,51610,2958.0
2020-11-04 01:47:51+00:00,0.325,51869,259.0
2020-11-04 01:49:05+00:00,0.328,64634,12765.0
2020-11-04 01:49:46+00:00,0.319,72876,8242.0
2020-11-04 01:53:20+00:00,0.338,91346,18470.0
2020-11-04 01:57:00+00:00,0.339,104739,13393.0
2020-11-04 01:58:41+00:00,0.338,104777,38.0
2020-11-04 01:58:49+00:00,0.337,105206,429.0
2020-11-04 01:59:40+00:00,0.336,105459,253.0
2020-11-04 01:59:55+00:00,0.332,106688,1229.0
2020-11-04 02:01:10+00:00,0.331,107658,970.0
2020-11-04 02:07:39+00:00,0.33,107791,133.0
2020-11-04 02:08:09+00:00,0.322,123864,16073.0
2020-11-04 02:13:19+00:00,0.32,124340,476.0
2020-11-04 02:19:40+00:00,0.313,130381,6041.0
2020-11-04 02:20:17+00:00,0.407,196920,66539.0
2020-11-04 02:20:24+00:00,0.405,197324,404.0
2020-11-04 02:21:58+00:00,0.403,200102,2778.0
2020-11-04 02:22:45+00:00,0.401,201125,1023.0
2020-11-04 02:29:04+00:00,0.4,208962,7837.0
2020-11-04 02:36:32+00:00,0.397,209626,664.0
2020-11-04 02:39:17+00:00,0.394,211042,1416.0
2020-11-04 02:41:31+00:00,0.384,216142,5100.0
2020-11-04 02:49:43+00:00,0.38,219137,2995.0
2020-11-04 02:50:53+00:00,0.376,222249,3112.0
2020-11-04 03:02:28+00:00,0.374,225399,3150.0
2020-11-04 03:04:21+00:00,0.373,224995,-404.0
2020-11-04 03:05:43+00:00,0.373,225550,555.0
2020-11-04 03:06:03+00:00,0.371,227060,1510.0
2020-11-04 03:09:59+00:00,0.369,228197,1137.0
2020-11-04 03:14:53+00:00,0.369,230322,2125.0
2020-11-04 03:22:50+00:00,0.369,230768,446.0
2020-11-04 03:23:14+00:00,0.359,237140,6372.0
2020-11-04 03:28:14+00:00,0.358,237451,311.0
2020-11-04 03:52:40+00:00,0.352,244578,7127.0
2020-11-04 03:59:59+00:00,0.347,249331,4753.0
2020-11-04 04:10:52+00:00,0.347,253811,4480.0
2020-11-04 04:22:09+00:00,0.344,255836,2025.0
2020-11-04 04:23:40+00:00,0.343,256337,501.0
2020-11-04 04:40:55+00:00,0.341,259058,2721.0
2020-11-04 05:01:12+00:00,0.34,261232,2174.0
2020-11-04 05:01:45+00:00,0.338,262811,1579.0
2020-11-04 05:11:42+00:00,0.334,266075,3264.0
2020-11-04 05:20:44+00:00,0.333,266340,265.0
2020-11-04 05:31:35+00:00,0.333,267020,680.0
2020-11-04 05:53:00+00:00,0.331,270122,3102.0
2020-11-04 06:11:53+00:00,0.33,270400,278.0
2020-11-04 06:32:54+00:00,0.33,270779,379.0
2020-11-04 07:43:54+00:00,0.329,271634,855.0
2020-11-04 12:47:58+00:00,0.328,272696,1062.0
2020-11-04 15:19:54+00:00,0.328,272744,48.0
2020-11-05 16:36:54+00:00,0.269,207033,-65711.0
